38.3 Mbps,38.3 Mbps,38.3 Mbps,
24.67 Mbps,20.65 Mbps,26.39 Mbps,
25.47 Mbps,23.0 Mbps,31.73 Mbps,
25.02 Mbps,22.11 Mbps,26.57 Mbps,
24.69 Mbps,20.03 Mbps,27.21 Mbps,
25.6 Mbps,21.45 Mbps,32.59 Mbps,
26.93 Mbps,24.02 Mbps,28.7 Mbps,
24.67 Mbps,22.66 Mbps,25.82 Mbps,
24.74 Mbps,21.71 Mbps,25.75 Mbps,
39.0 Mbps,35.05 Mbps,42.96 Mbps,
24.83 Mbps,20.14 Mbps,28.74 Mbps,
24.81 Mbps,22.19 Mbps,27.82 Mbps,
24.77 Mbps,23.22 Mbps,25.94 Mbps,
47.9 Mbps,44.71 Mbps,49.7 Mbps,
47.91 Mbps,41.44 Mbps,51.37 Mbps,
47.88 Mbps,45.43 Mbps,49.01 Mbps,
24.8 Mbps,21.58 Mbps,27.13 Mbps,
24.85 Mbps,20.12 Mbps,26.91 Mbps,
24.69 Mbps,22.9 Mbps,26.11 Mbps,
24.99 Mbps,23.61 Mbps,26.04 Mbps,
24.67 Mbps,23.25 Mbps,25.64 Mbps,
24.28 Mbps,20.68 Mbps,29.12 Mbps,
24.74 Mbps,22.09 Mbps,26.62 Mbps,
24.87 Mbps,22.69 Mbps,26.33 Mbps,
24.63 Mbps,22.83 Mbps,26.23 Mbps,
24.71 Mbps,20.48 Mbps,26.4 Mbps,
25.55 Mbps,24.0 Mbps,27.16 Mbps,
37.32 Mbps,34.7 Mbps,39.55 Mbps,
37.28 Mbps,34.16 Mbps,40.04 Mbps,
24.52 Mbps,22.76 Mbps,26.39 Mbps,
24.74 Mbps,21.75 Mbps,26.7 Mbps,
26.98 Mbps,23.69 Mbps,30.14 Mbps,
26.02 Mbps,23.32 Mbps,30.29 Mbps,
43.61 Mbps,27.82 Mbps,70.99 Mbps,
38.66 Mbps,25.97 Mbps,52.87 Mbps,
63.72 Mbps,37.74 Mbps,87.72 Mbps,
101.9 Mbps,85.61 Mbps,113.88 Mbps,
58.91 Mbps,33.57 Mbps,124.83 Mbps,
50.92 Mbps,46.16 Mbps,59.47 Mbps,
69.17 Mbps,56.33 Mbps,82.4 Mbps,
49.18 Mbps,45.44 Mbps,53.49 Mbps,
48.11 Mbps,46.16 Mbps,56.93 Mbps,
31.49 Mbps,26.61 Mbps,39.18 Mbps,
